sn,comment,user,loc,thumbups
107940557,"On social media I have seen people give bizarre reasons against wearing masks. These make me to wonder what has happened to American critical thinking skills. 

At a Ventura CA county government entity, a stable genius follower said that wearing a mask ""is an act of submission, subjugation, of slavery, of shame."" SEE: 
twitter.com/nowthisnews/status/1278909582991953920

In Florida stable genius followers spoke out against a mask mandate. Some of the reasons given involved satanism, death, and pedophilia. SEE:
twitter.com/nowthisnews/status/1277814869840953345

Scary stuff! So much for American exceptionalism!",56505972,"South Dartmouth, MA",6
107940242,This administration including Fauci should be held criminally negligent. Fauci has been better than most but that is not saying much and he knew better. The message has been botched and no amount of shift in messaging will make it right. Republicans in particular are acting like idiots and they know better. There is no way they can believe their own rhetoric. It is ridiculous. Not only are more people dying than needed to but the economy is going to be hit worse than it would have been otherwise. I hope that states and individuals drown Trump and others responsible in lawsuits until he and they die.,68478906,"Bay Area, CA",3
107939475,"The 95 isn’t useful at protecting others.  So if you have the virus you can spread it with an N95.

It really only protects you.",62661042,USA,2
107939408,"Let me suggest another problem with getting people to wear masks: we're supposedly wearing them to protect others, and not ourselves. I see two problems with this statement:
A it's a lie, and
B in a country as split as this, protecting those ""other"" people, especially those too lazy to wear a mask, is not very motivating.

RE ""it's a lie"": When I purchased N95s a few years ago as I was about to insulate my attic, I wore my N95 to protect myself, not to protect the insulation. Anyone who's bought masks as a part of a hobby or home repair knows that masks protect the wearer. So once again the CDC is obfuscating, basically lying to us. I sense the reason is that the t-shirts cut into masks don't really provide much protection, so the authorities are trying a different argument. If homemade masks are not effective stopping small particles one direction, they're not going to be effective with particles moving the other direction either... Once N95s are widely available, the CDC will need to pivot once again, and tell the truth. Meanwhile cities like San Francisco are actually banning N95s with valves, the best mask you can have, since the valve is proof that the mask is for the wearer. Enough of the lies. Tell the truth, and tell us when N95s will once again be widely available.",40828043,SF,2
107939342,"You, like so many others, let Dr. Fauci and his CDC counterparts off far far far too easily. I’m sorry, their early advice on masks was literally dead wrong. What they could have said was that “we need every available N95 mask for frontline health care workers so DO NOT BUY them. BUT, this is America and we are an ingenious people, make your own masks here are links to how and wear them every time you leave the house.” Instead they denigrated and belittled mask-wearing. This was a BIG mistake on par with many things our criminally negligent president has said and done. Stop pretending it was otherwise. Just because Fauci and CDC officials are scientists does not make them right or infallible. And it might help if they had the cujones to state clearly and emphatically that they were wrong.",48341284,New York,10
107940039,"Remember back when we had a President, and Obama would say things like, “Don’t let the perfect be the enemy of the good,” and, “don’t do dumb stuff?” 

Yeah, me too.

Stay mostly home. 
When you go out, wear a mask and keep some distance.
Wash your hands a lot.

Don’t be a jerk. 

Seems pretty simple.",66788641,Out west,10
107939552,You don't want to wear a mask? Fine. Just stay home.,83007384,Colorado,2
107940804,Pro Life? Put on a mask!,78952500,MI,2
107939536,"Looks like even Sean Hannity recognizes he can't keep telling people to not wear masks because people will die.

He made this Fox public service announcement.

<a href=""https://www.yahoo.com/entertainment/hannity-releases-psa-urging-people-to-wear-masks-i-dont-have-a-problem-wearing-a-mask-053205835.html"" target=""_blank"">https://www.yahoo.com/entertainment/hannity-releases-psa-urging-people-to-wear-masks-i-dont-have-a-problem-wearing-a-mask-053205835.html</a>

How do Fox listeners reconcile this 180 degree change?",46988223,the South,1
107940611,"Instead of giving us N95s. DHS gave us cotton masks made by Hanes. FEMA took 500 000 masks from the VA and gave them to strategic supply. I got 3 N95 masks instead of 10 for my physicians because we are in short supply. So sometimes we had to whip out the "" underwear"" masks until we finally got surgical ones .",70156509,USA,2
107940758,"The fact that a medical supply company, early on, offered to produce a million masks a week and was turned down by Trump is an abomination.",74745793,New York City,5
107937562,It’s a simple reflection of how you feel about the people around you.,21797719,New Jersey,3
107940251,"What really, really annoys me is that those exercising their ""rights"" have revived the image of the ""ugly American.""  Quite apart from stunningly poor hygiene, those traveling on US passports will be presumed to have no consideration or even manners in host foreign countries.",67873433,"Sonora, CA",2
107939474,"Why is there a division among Americans over the implementation of  pandemic control?
Answer: d. j. trump.
This November,
 ""Make America
America Again!""",18727659,"Palmetto, FL.",3
107940245,"Deciding to wear a mask is not  political statement.
It is an intelligence test",40481400,Alexandria.Virginia,8
107939894,"To those who think wearing a mask is an infringement on their rights.....
1. I promise not to drive drunk. 2. I promise not to flush cherry bombs down the toilet in a public building. 3. I promise not to knowingly spread smallpox. 4. I promise to wear a mask because it is the best thing to do right now in light of the evidence as presented. If your doctor says not to do something that puts your or your family's health at risk, do you comply? Well the doctor is begging, pleading, confronting you with an overwhelming body of evidence that supports the idea that face masks are the best means of mitigating the spread of this virus, and yet some a rising up in rebellion. Put the statement ""I have a right to"" in front of drive drunk, flush cherry bombs down the toilet in a public building or spread smallpox-kind of ridiculous, right? Perhaps then you will see how baseless your defense of your right to recklessly endanger the health of others truly is. One would hope that you would then see the validity of statement 4. Hoping for the rest of us........",37931823,philadelphia,1
107940876,"If you hate wearing a mask, you'll hate wearing a ventilator worse,  I promise.",25689932,Midwest,9
